"ID","condition","Random_BIC","Distinct_game_BIC","theta_transfer","lambda_transfer","Distinct_stage_BIC","theta_no_btw_tr","lambda_no_btw_tr","Bayes_distinct_no","theta_no_tr","lambda_no_tr","QL_states_BIC","QL_states_Beta","QL_states_alpha","QLS_within_Tr_BIC","QLS_within_Tr_Beta","QLS_within_Tr_alpha","STEWA_NT_2LL","STEWA_NT_BIC","STEWA_NT_Lambda","STEWA_Tr_2LL","STEWA_Tr_BIC","STEWA_Tr_Lambda","MBM_2LL","MBM2_BIC","MBM2_alpha","MBM2_beta"
"PPuClUN70TLCCciPAADz","Level2",395.500423920519,405.886337816898,1.51423424341159e-06,0.0216184861424756,405.886337725068,1.66761696622741e-06,0.0103665679238899,405.886337914106,0.000147375882762997,0.000332626904637534,404.794797267719,4.11406624503434,0.498763629619032,400.555870589251,2.72113823132339,0.879240268681541,395.500423920519,400.69338077141,3.2119061029468e-16,395.500423920519,400.69338077141,3.05796347807416e-16,393.962962135069,404.34887583685,3.79273179249038,0.983917208421975
"oxFTHoqnqWrmCV-SAABm","Level1",395.500423920519,305.707312819461,0.0594412511862009,39.6636990780453,313.551266631827,0.160350061227652,13.7063040884522,316.569038387343,0.285919574027615,7.71094253347665,327.695451402182,0.513837214496367,0.682104895509234,301.380906571719,0.428176136134194,0.492585095143564,347.787734397256,352.980691248146,4.63785117870327,333.939469291588,339.132426142478,5.70368753644072,315.093788926089,325.47970262787,0.696766692499745,0.438897020402058
"tf0MGgvxmqZRO_clAAEv","Level1",395.500423920519,403.319692928637,0.999483394115567,0.313131705986464,401.564981023229,0.994796198763501,0.407895741552003,400.925449086034,0.987065945524106,0.451360391399388,401.3853566,0.632955793384206,0.213482748075224,394.888363961883,0.586456241000723,0.139025797256338,393.418236843014,398.611193693905,0.948279323428616,394.641609821588,399.834566672478,0.472270182613466,391.035991298295,401.421905000076,2.71549880343413,0.621226041597219
"qxE6d7fDhRDSZ8LNAACg","Level2",395.500423920519,405.521869293946,0.0294369315764444,5.42719368179565,404.930435610702,0.9958204244491,0.19373959476256,404.949642534872,0.660796470251461,0.293523642449934,361.356481823269,0.502836010940823,0.428539326149849,376.979480249073,1.17172699956573,0.712700943214949,385.341532977377,390.534489828268,1.91983059147736,392.610269840337,397.803226691227,0.844190793151962,354.946344078371,365.332257780151,0.9976408460764,0.24482246772109
"z4PrcHRUF5bxfgrKAACQ","Level2",395.500423920519,404.265381797796,0.00950480935690188,49.1034559999605,404.664311274943,0.0132847453114144,32.5853785119542,403.427062325008,0.0739693921083991,6.47532451040681,394.369875912999,1.37150869552197,0.600936560425907,397.789983623007,1.82028588152772,0.5122600091887,393.949821806716,399.142778657606,0.622734714531605,395.244910743768,400.437867594658,0.272171761582539,386.213256327013,396.599170028793,2.24685435542642,0.48168232330744
"hrysprKOi0yO4R2pAACB","Level2",395.500423920519,392.997593927671,0.029875072457866,31.4299228501814,396.074224483706,0.411756743937042,1.55132682637775,395.667516850995,0.994673696792016,0.599886860114025,358.095392607387,0.103574856167247,0.0666060516158103,361.429277007891,0.141371708979266,0.0647403525756149,385.311201596313,390.504158447203,1.61467443954941,392.087120280438,397.280077131328,0.883552424607377,356.485299657035,366.871213358815,1.28532549564039,0.621299536986946
"2o6EfY2kcZpacXG5AACi","Level1",395.500423920519,398.333153966836,0.033243671386726,20.5130990336313,399.30622120017,0.54435563647798,0.879233692617185,397.601302881562,0.958629440050572,0.606071634062184,392.895504990331,1.14853196032382,0.513893564833172,387.763963696165,0.910433451506646,0.55558241364939,377.191888094401,382.384844945291,2.63744265492487,383.491375466808,388.684332317698,2.12931255530795,382.888750721089,393.27466442287,1.65890248372153,0.269976190524176
"EaYc4vC7DCwwt15aAAIF","Level1",395.500423920519,399.369013808917,0.0367425583332203,16.8867099586672,400.890311946242,0.106290837271362,4.67209972912026,399.570513915887,0.218803085810691,2.72894196986447,403.20560952914,2.48337928147748,0.60132685238245,405.88633762229,17.6726673478233,2.56337802095134e-10,395.256761978064,400.449718828954,0.225776300625257,395.500423920519,400.69338077141,4.74648081188502e-16,393.839464433421,404.225378135201,5.73197079998177,0.595672297516585
"r2nFfSPcBAarIW5SAAFp","Level1",395.500423920519,405.599775232548,0.587447473235295,0.180266334640527,404.423469394128,0.959889265676493,0.249483525262032,403.795715312637,0.967833868118627,0.301302758721365,403.07701317277,3.27650862814202,0.752087482869572,393.495156073151,0.127029293192439,0.0487046382188068,392.223557476333,397.416514327223,1.18751355565868,392.372687719186,397.565644570076,0.931218343428607,392.510803069663,402.896716771443,3.89890994705975,0.347798120592356
"wkSekQIWpxx9cI6DAAAK","Level2",395.500423920519,299.098909227524,0.0166243098712358,200.541195648266,300.813154379743,0.182357192443933,12.9170282130958,302.284225230086,0.435844584159312,5.39867045195903,268.448394768821,0.256334950804688,0.401944472207424,253.338921206755,0.273223986284134,0.272358554641499,337.891932356898,343.084889207788,4.53051727843303,328.19257303715,333.385529888041,5.0464752367013,262.356538100066,272.742451801846,0.622588515641714,0.796648962831713
"bNrt9YPV9mSMUhWfAAB6","Level1",395.500423920519,402.912750760812,0.0107139462841298,56.6282367188613,403.116545010187,0.0259958974808678,21.6860605317483,403.560920174285,0.0239564523801745,24.0571497747537,389.363509149335,0.352584205842373,0.145486374974382,392.684209316194,0.75204974678013,0.271686545126195,392.904269349579,398.097226200469,0.928420198990077,393.124560436416,398.317517287306,0.811115213336843,383.18681630501,393.57273000679,1.55768058370715,0.365424214641503
"jsY8H-8cm_SFVtJ1AACC","Level2",395.500423920519,212.94147056263,0.0120539246012393,523.071371814337,220.511834069776,0.0206863038848881,301.221101722865,219.640721134885,0.0909824825739121,56.9010383553251,250.682332306363,0.111765071923767,0.172050087809697,246.15237671524,0.277270430182056,0.347876589310196,289.386284115229,294.579240966119,7.60504721541574,312.432477779005,317.625434629895,6.38134864595737,258.612496674989,268.99841037677,0.559413241915622,0.27205469732776
"YI5xBRHQEsR4UCk6AACr","Level2",395.500423920519,358.248311821733,0.0150688029555347,143.233261281209,363.692561964902,0.875027628190112,1.38474132744372,362.270897881675,0.956961071018839,1.35072793542146,327.203799582022,0.680003432476487,0.742012795781776,297.342311471095,0.307800768306145,0.28032645798962,356.238502778762,361.431459629652,4.10312072986494,362.450022353955,367.642979204845,3.26333031660857,315.024775393919,325.410689095699,0.729162273971205,0.502443762089882
