"ID","condition","Random_BIC","Bayes_Tr_BIC","Bayes_No_Tr_BIC","theta_transfer","lambda_transfer","theta_no_transfer","lambda_no_transfer","QL_BIC","QL_Beta","QL_alpha","QL_states_BIC","QL_states_Beta","QL_states_alpha","EWA_BIC","EWA_2LL","EWA_Phi","EWA_Delta","EWA_Rho","EWA_Lambda","ST_EWA_STATES_BIC","ST_EWA_STATES_Lambda"
"OKTUZhRu5vEV8REOAABU","Level2",380.666248977032,147.092933762818,132.493239422956,0.0317554566995307,111.480261727704,0.0781691265522763,49.0349672894192,390.687519565225,7.79516022862002,0,112.646896124073,0.140514347056648,0.367857823793512,400.709854812661,380.667313636276,1.11440067531969,0.999999937046115,0.999999997803621,0.0100000019196143,121.760937058415,6.85122353547518
"hkwYQrDHoPaA4yMaAABg","Level2",380.666248977032,384.817099970654,385.150339695816,0.0322686044676263,17.419215070125,0.0387079560200446,16.6620010143631,390.687519565225,10,0,373.807118446226,0.912295908384269,0.326046192842598,400.650013957485,380.6074727811,0.0100000004085145,0.999999998740529,0.999999999998326,0.233695766903816,379.633353122726,0.696131531454454
"wuPP0rwjmFrZ1QlRAAAK","Level1",380.666248977032,390.643565477212,390.640635824848,8.31103990977257e-05,996.883796389822,8.79682969194993e-05,998.476129636711,387.097630397365,1,0.1,387.353144075425,1.45166298271714,0.276491249751433,388.843874238521,368.801333062136,0.603685749491949,0.710446514198138,0.104035728300784,0.480892527677375,385.676884271128,3.3360311836227e-16
"HE1L_7f92p8RhgaIAAAc","Level2",380.666248977032,387.710915433447,387.78559388878,0.000738382077854403,982.739938877839,0.00072626473540302,971.052926530592,390.687519565225,4.06385667053633,0,388.47044397346,3.03927682666703,0.624468404706589,400.296006266556,380.253465090171,0.860119794646434,0.0100000000716001,0.0100004747861737,0.0896247651923789,385.676884271128,1.06598515005285e-15
"iDh62P2wg6ao1dSUAACk","Level2",380.666248977032,390.687537457983,390.68752594479,6.12235282744681e-09,141.412687766461,2.03292270450094e-09,51.8180526983606,390.687519565225,3.656105689681,0,338.263046569806,0.142561564271176,0.0484559503140951,389.284536199039,369.241995022654,1.23463880342002,0.119464126155656,0.997344507231015,0.0100787593335932,385.676884271128,1.65603653512282e-16
"vuzUzEEiYLwXW9x9AAAO","Level1",380.666248977032,382.857727987476,381.731671802343,0.00199953335365827,521.318216147012,0.0123690868464831,80.3102112631912,390.687519565225,9.84190870132788,0,368.177476503832,0.160114617575776,0.054478873422815,396.405961894312,376.363420717927,0.104443264668654,0.999999999997115,0.0100000000158743,0.227973963730143,382.49675346267,0.486212651167998
"7UidQyU1y52UvfhMAACo","Level2",380.666248977032,353.318046590077,360.184025002791,0.00888367514492653,173.085640009865,0.0221622746955057,64.6220956910853,390.687519565225,4.14774348805712,0,355.652603388826,0.0992104857567911,0.0467386178292645,399.645724004608,379.603182828223,1.19073281614177,0.286127033579205,0.999999924760571,0.0100000334438958,377.880817831165,0.788053519222478
"E8kPvIi6RmunS_t2AAAu","Level2",380.666248977032,322.699541150986,327.03098423764,0.00876486268041225,225.3037058462,0.0221744576856853,86.9496028527757,390.687418235562,3.78635307574318,0.00144926478267205,305.89722129769,0.478377154020138,0.442749373858377,400.640075558158,380.597534381773,1.03715975251104,0.0100000010134714,0.289115514666041,0.0100000049721694,331.123894976559,1.91562316990619
"Hg433PNmJWz9FixvAACM","Level2",380.666248977032,361.716939158881,361.221839086485,0.0145656456247052,79.7681630460359,0.0289967223453812,43.4746276544899,388.565247859784,0.0389468956500308,0.00311440678945025,356.591907768134,0.729448528034336,0.486741707594974,395.516656225726,375.474115049341,1.03621682754061,0.58920219195024,0.957311620854456,1.33380872276925,364.479708031927,1.21054583575467
"zPmO4kt4wkjme_W5AABq","Level2",380.666248977032,389.441142713357,390.477766296754,0.0131671298642217,23.6098105127855,0.0139030520498926,22.0197257138959,390.687519565225,5.02014190999012,0,386.429813225745,2.04562973261734,0.551545628638109,400.708431237182,380.665890060797,0.777195704884135,0.999999999968167,0.999999999999087,0.0183414782138146,383.123319230935,0.492478418995555
"YKayqpSUklwV5pOWAABe","Level1",380.666248977032,200.183794344638,183.950283630005,0.00596617009099156,809.117187725065,0.0233183184482482,184.512962803657,390.687519565225,6.23112165771523,0,162.610966566772,0.217397752063515,0.344423577728666,400.300293778898,380.257752602513,0.0100000010215706,0.999999998491939,0.999999999954012,0.617358069722465,187.249365631956,4.76069458370637
"06i_Cux84PGac8aqAAAA","Level2",380.666248977032,390.687520718443,390.687524718271,6.04511956337448e-09,64.4595381072807,2.68485385115613e-09,51.4403530696741,390.579592730224,2.40212245350365,0.0623177261102158,390.640388679976,6.15502401685059,0.106735901523965,398.822920933106,378.780379756721,0.949548423946339,0.0100000000130507,0.99999999999975,2.26474820571885,385.676884271128,3.10547168008357e-16
"k-jbqaetGTrE-1e_AAAk","Level2",380.666248977032,281.94737665064,283.592412804517,0.0165188020212874,134.249827789029,0.113198860404801,17.7007721307566,390.687519565225,7.82463231709115,0,261.418262310645,0.217535772806179,0.16492863997315,399.833042552836,379.790501376451,1.11491712939024,0.237193553696819,0.6112524249993,0.010004022283375,301.891328694867,2.73040733411527
"c56kda3LQEpjIPm3AACE","Level2",380.666248977032,307.09264291115,301.307905108969,0.0803932241950315,20.2936500513735,0.0342398750098278,60.3935218014651,390.687501325552,2.55070872616868,0.000542353702565586,272.637784982288,0.481367835451742,0.785923960003417,400.509535769399,380.466994593014,1.09815937791695,0.99982562297144,0.746079110289838,0.0102933305869164,285.277205481975,3.18581585171931
"62ksRmCUyOlOJWTQAAB2","Level2",380.666248977032,213.401083379182,214.990439486466,0.0166358735494915,180.108126349443,0.0436044670238873,68.0920673846052,390.687519565225,6.79528644124139,0,229.865401829403,0.216863860240358,0.193194562285016,400.583048502767,380.540507326382,1.14137768779339,0.999511748361409,0.972749821463967,0.0100094125799716,239.945242637027,3.5243711342833
"90EJZg_2bJ92R8vmAAAa","Level2",380.666248977032,337.58719718857,338.066658183811,0.0536474240735024,24.2845079691473,0.0623452088872867,22.5833479395503,384.858513418717,0.00788525112304551,0.00127423704414601,278.853636800431,0.0790512559920195,0.0643385175699873,377.572865903366,357.530324726981,1.07960893213628,0.398789955827143,0.360319263296666,0.135554545413914,332.894270950849,2.10351875720046
"Nsa2geNpUZ9ulTlKAABG","Level1",380.666248977032,369.650865170864,362.32841122174,0.0620387230058957,15.2333430777278,0.0863272451369308,13.9563638341526,382.326630992481,2.57203286447887,0.99,171.600045784687,0.0693721144359228,0.108323525343587,397.158985538884,377.116444362499,0.977427246332368,0.0100000582032942,0.0114006931251328,0.0507649944340675,356.115581931675,1.35555288634892
"sgIt_KViZxGWuvbTAAB8","Level2",380.666248977032,356.105772897525,367.608365318881,0.00656605193176521,251.662197656915,0.0146662404998651,98.1284922560484,390.687519565225,4.05593620652188,0,323.749499578775,0.0435334199620832,0.0223521213815103,400.625954867039,380.583413690654,1.04308536394341,0.99999681009536,0.271830977007674,0.0100052528115467,370.80552401709,0.980954580629455
"eJ5xg-wBh5lN4PNyAABi","Level1",380.666248977032,162.992716854826,120.10710490395,0.00949757537953942,567.29237311451,0.101920994804468,42.7509854325754,390.687519565225,5.94317203472861,0,120.060243256796,0.0348036110287357,0.0868189092130364,397.405320549117,377.362779372732,0.0100000000289847,0.999999999843593,0.999999999968605,1.81545989243831,114.121181514271,7.53233524067617
